Name,Number,Set,Condition,Quantity,Foil,Price
Lightning Bolt,149,Foundations,NM,4,,
Thoughtseize,107,Theros Beyond Death,LP,2,,7.50
Collected Company,177,Dragons of Tarkir,NM,1,foil,
Fatal Push,081,Aether Revolt,NM,8,,0.75
Wrenn and Six,199,Modern Horizons,MP,1,,22.00
Swamp,271,Foundations,NM,20,,
Mickey Mouse - Brave Little Tailor,001,The First Chapter,NM,2,,
Elsa - Snow Queen,043,The First Chapter,LP,1,yes,12.00
Simba - Future King,052,The First Chapter,NM,1,,
Pinocchio - Star Wisher,034,Rise of the Floodborn,NM,3,no,
